STT,SHS,SBD,Họ và tên,GT,Ngày sinh,NV1,NV2,Tiếng Anh,Toán 1,Ngữ văn,Hóa học,Tin học,Vật lý,Sinh học,Toán 2,Kết luận,SĐT,Tin nhắn
480,653,28,Nguyễn Văn 480,Nữ,19/05/2010,Chuyên hóa học,,9.75,6.5,8.5,8.5,,,,,Chuyên Hoá học,984640899,
481,654,222,Nguyễn Văn 481,,23/12/2010,Chuyên vật lý,,9.5,6.5,8.25,,,4,,,,984640899,
482,655,813,Nguyễn Văn 482,,29/04/2010,Chuyên tin học (thi Toán),,9.25,7,9,,,,,5.5,,984640899,
483,656,616,Nguyễn Văn 483,,19/01/2010,Chuyên hóa học,,9.75,8,7,8.75,,,,,Chuyên Hoá học,984640899,
484,657,2234,Nguyễn Văn 484,,19/06/2010,Chuyên hóa học,,9.75,5,8.75,6,,,,,Chuyên Hoá học,984640899,
485,658,1920,Nguyễn Văn 485,Nữ,31/10/2010,Chuyên hóa học,,7.5,4,7.5,3,,,,,,984640899,
486,659,2317,Nguyễn Văn 486,,16/11/2010,Chuyên vật lý,,8.75,6,7.25,,,2.5,,,,984640899,
487,660,1233,Nguyễn Văn 487,Nữ,13/06/2010,Chuyên sinh học,,9,3,8.25,,,,6.75,,,984640899,
488,661,1661,Nguyễn Văn 488,,01/11/2010,Chuyên tin học (thi Toán),,9.5,6,6,,,,,7.25,Chuyên Tin học (thi Toán),984640899,
489,662,493,Nguyễn Văn 489,,04/11/2010,Chuyên tin học (thi Toán),,7.75,5,8.5,,,,,6,,984640899,
490,663,2091,Nguyễn Văn 490,,21/11/2010,Chuyên tin học (thi Toán),,10,3.5,8.75,,,,,0.5,,984640899,
491,665,2259,Nguyễn Văn 491,,07/10/2010,Chuyên tin học (thi Toán),,10,6.5,7.75,,,,,2.5,,984640899,
492,666,542,Nguyễn Văn 492,,11/02/2010,Chuyên toán học,,9.5,7.5,8.75,,,,,7.75,Chuyên Toán học,984640899,
493,668,355,Nguyễn Văn 493,Nữ,14/06/2010,Chuyên vật lý,,9.25,6.5,7.75,,,9,,,Chuyên Vật lý,984640899,
494,669,591,Nguyễn Văn 494,,01/03/2010,Chuyên toán học,,10,7.5,9,,,,,7,Chuyên Toán học,984640899,
495,670,1035,Nguyễn Văn 495,,13/08/2010,Chuyên vật lý,,9.5,6.5,7.5,,,6,,,Chuyên Vật lý,984640899,
496,671,1983,Nguyễn Văn 496,,01/01/2010,Chuyên tin học (thi Toán),,5.75,4,7.5,,,,,0.5,,984640899,
497,672,157,Nguyễn Văn 497,Nữ,14/05/2010,Chuyên hóa học,,9.25,3.5,7,6.5,,,,,,984640899,
498,673,174,Nguyễn Văn 498,,03/01/2010,Chuyên tin học (thi Toán),,10,6,8,,,,,5,,984640899,
499,674,568,Nguyễn Văn 499,,28/02/2010,Chuyên hóa học,,8.75,6.25,8.25,8,,,,,Chuyên Hoá học,984640899,
500,675,1967,Nguyễn Văn 500,,28/05/2010,Chuyên tin học (thi Toán),,9,7.5,8.5,,,,,5,,984640899,
501,678,2446,Nguyễn Văn 501,,05/08/2010,Chuyên vật lý,,7.5,4,6,,,3.75,,,,984640899,
502,680,919,Nguyễn Văn 502,,14/08/2010,Chuyên hóa học,,9,6.5,5.75,7.25,,,,,Chuyên Hoá học,984640899,
503,681,840,Nguyễn Văn 503,Nữ,08/01/2010,Chuyên toán học,,9.75,6,8.75,,,,,7,Chuyên Toán học,984640899,
504,682,257,Nguyễn Văn 504,,04/05/2010,Chuyên tin học (thi Toán),,9.25,6,6,,,,,3.5,,984640899,
505,683,2612,Nguyễn Văn 505,Nữ,20/03/2010,Chuyên sinh học,,9.5,4,8,,,,7,,Chuyên Sinh học,984640899,
506,684,1804,Nguyễn Văn 506,,11/05/2010,Chuyên sinh học,,8.75,6.75,8.5,,,,7.5,,Chuyên Sinh học,984640899,
507,685,1263,Nguyễn Văn 507,,07/01/2010,Chuyên hóa học,Chuyên tin học (thi Toán),9.75,7.5,9,5.25,,,,6.75,Chuyên Hoá học; Chuyên Tin học (thi Toán),984640899,
508,686,2071,Nguyễn Văn 508,,22/02/2010,Chuyên vật lý,,9.5,6,7.75,,,6,,,Chuyên Vật lý,984640899,
509,687,1603,Nguyễn Văn 509,,07/01/2010,Chuyên sinh học,,9.5,4,6.75,,,,6,,,984640899,
510,688,1798,Nguyễn Văn 510,,04/06/2010,Chuyên toán học,,8.75,5,7.25,,,,,3.5,,984640899,
511,690,783,Nguyễn Văn 511,Nữ,24/03/2010,Chuyên sinh học,,9.5,4,8.75,,,,9,,Chuyên Sinh học,984640899,
512,691,2574,Nguyễn Văn 512,,25/08/2010,Chuyên vật lý,Chuyên tin học (thi Tin),9.75,7.5,5.75,,5,6.75,,,Chuyên Vật lý,984640899,
513,692,1612,Nguyễn Văn 513,,02/10/2010,Chuyên hóa học,Chuyên toán học,9.5,6,8.25,5.25,,,,0,,984640899,
514,693,748,Nguyễn Văn 514,,02/11/2010,Chuyên toán học,,9.75,7.5,7.75,,,,,5,,984640899,
515,694,2635,Nguyễn Văn 515,,20/11/2010,Chuyên tin học (thi Toán),,9.25,5.5,7.75,,,,,6,,984640899,
516,695,2691,Nguyễn Văn 516,Nữ,13/09/2010,Chuyên sinh học,,8.75,2.5,7,,,,3,,,984640899,
517,696,832,Nguyễn Văn 517,,26/07/2010,Chuyên hóa học,,9.75,5,8,6.25,,,,,Chuyên Hoá học,984640899,
518,697,2237,Nguyễn Văn 518,,04/09/2010,Chuyên tin học (thi Toán),,9.75,6,8.25,,,,,8,Chuyên Tin học (thi Toán),984640899,
519,698,707,Nguyễn Văn 519,,10/07/2010,Chuyên vật lý,,9.5,6,7.75,,,5.75,,,Chuyên Vật lý,984640899,
520,699,2254,Nguyễn Văn 520,Nữ,19/05/2010,Chuyên tin học (thi Toán),,10,7.5,9,,,,,4,,984640899,
521,700,1055,Nguyễn Văn 521,,02/11/2010,Chuyên tin học (thi Toán),,9.5,8,8,,,,,7,Chuyên Tin học (thi Toán),984640899,
522,702,1613,Nguyễn Văn 522,,05/10/2010,Chuyên vật lý,Chuyên tin học (thi Toán),6.5,6,5,,,7,,3,Chuyên Vật lý,984640899,
523,703,223,Nguyễn Văn 523,,02/01/2010,Chuyên hóa học,,10,6,8.5,5.25,,,,,,984640899,
524,706,450,Nguyễn Văn 524,,14/06/2010,Chuyên hóa học,,8.75,0,7.5,1.75,,,,,,984640899,
525,709,1811,Nguyễn Văn 525,,28/09/2010,Chuyên hóa học,,8.5,4.5,8.25,1,,,,,,984640899,
526,712,1235,Nguyễn Văn 526,,22/01/2010,Chuyên tin học (thi Toán),Chuyên vật lý,8.5,4,8.25,,,0,,0,,984640899,
527,713,226,Nguyễn Văn 527,,08/02/2010,Chuyên toán học,,10,7.5,9.25,,,,,7.75,Chuyên Toán học,984640899,
528,716,1395,Nguyễn Văn 528,,03/02/2010,Chuyên hóa học,,9.5,4,8.5,4,,,,,,984640899,
529,717,302,Nguyễn Văn 529,,12/05/2010,Chuyên sinh học,,10,6.5,6.5,,,,8.5,,Chuyên Sinh học,984640899,
530,718,2079,Nguyễn Văn 530,,15/11/2010,Chuyên tin học (thi Toán),,9.75,7.5,8,,,,,3.5,,984640899,
531,719,1077,Nguyễn Văn 531,,06/07/2010,Chuyên vật lý,,9.75,3.5,7,,,0,,,,984640899,
532,720,717,Nguyễn Văn 532,,27/07/2010,Chuyên toán học,,9.75,7.5,9.25,,,,,7.5,Chuyên Toán học,984640899,
533,721,1321,Nguyễn Văn 533,,21/02/2010,Chuyên tin học (thi Toán),,10,6,7.75,,,,,1,,984640899,
534,722,1763,Nguyễn Văn 534,,05/10/2010,Chuyên tin học (thi Toán),,9,5,7,,,,,3,,984640899,
535,723,156,Nguyễn Văn 535,Nữ,02/05/2010,Chuyên tin học (thi Toán),,9.25,6,7.5,,,,,2,,984640899,
536,724,1286,Nguyễn Văn 536,,21/01/2010,Chuyên toán học,,9.25,5.5,6.75,,,,,3,,984640899,
537,726,2738,Nguyễn Văn 537,Nữ,17/04/2010,Chuyên tin học (thi Toán),,7.75,7.5,7.75,,,,,8,Chuyên Tin học (thi Toán),984640899,
538,727,1147,Nguyễn Văn 538,,14/01/2010,Chuyên sinh học,,6.5,1.5,7.25,,,,3.5,,,984640899,
539,728,675,Nguyễn Văn 539,,11/04/2010,Chuyên tin học (thi Toán),,9.5,4,8,,,,,1.5,,984640899,
540,729,1290,Nguyễn Văn 540,,28/03/2010,Chuyên vật lý,,10,7.5,7,,,6.5,,,Chuyên Vật lý,984640899,
541,730,2719,Nguyễn Văn 541,,20/01/2010,Chuyên tin học (thi Toán),,9.25,7.5,8.5,,,,,6.5,Chuyên Tin học (thi Toán),984640899,
542,731,1317,Nguyễn Văn 542,,29/04/2010,Chuyên vật lý,,9.5,7,8,,,8.75,,,Chuyên Vật lý,984640899,
543,733,1474,Nguyễn Văn 543,Nữ,16/08/2010,Chuyên toán học,,9.75,7.5,7.75,,,,,7,Chuyên Toán học,984640899,
544,735,1258,Nguyễn Văn 544,,24/09/2010,Chuyên toán học,,9.5,5.5,8.75,,,,,4,,984640899,
545,736,2121,Nguyễn Văn 545,,28/07/2010,Chuyên vật lý,,9.5,2.5,8.75,,,5,,,,984640899,
546,737,1053,Nguyễn Văn 546,,01/10/2010,Chuyên vật lý,,10,5.5,8,,,5.25,,,,984640899,
547,738,2679,Nguyễn Văn 547,,13/11/2010,Chuyên vật lý,,9.25,5.5,8.5,,,5.5,,,,984640899,
548,739,2292,Nguyễn Văn 548,,06/07/2010,Chuyên sinh học,,9.25,3.5,7.25,,,,5.75,,,984640899,
549,740,827,Nguyễn Văn 549,,16/12/2010,Chuyên vật lý,Chuyên toán học,9.75,2.5,9,,,3.5,,4,,984640899,
550,742,175,Nguyễn Văn 550,,17/10/2010,Chuyên toán học,,10,7.5,6.75,,,,,6.5,Chuyên Toán học,984640899,
551,745,1402,Nguyễn Văn 551,Nữ,10/11/2010,Chuyên hóa học,,8.25,6,7.75,6,,,,,Chuyên Hoá học,984640899,
552,746,1201,Nguyễn Văn 552,,29/10/2010,Chuyên toán học,,8.75,6.5,6,,,,,4.5,,984640899,
553,748,394,Nguyễn Văn 553,Nữ,16/01/2010,Chuyên sinh học,,9.75,6,9,,,,7.25,,Chuyên Sinh học,984640899,
554,749,1065,Nguyễn Văn 554,,30/07/2010,Chuyên vật lý,,9.5,6,6.5,,,4.25,,,,984640899,
555,750,1509,Nguyễn Văn 555,Nữ,09/10/2010,Chuyên sinh học,,8.25,6,8.5,,,,1.5,,,984640899,
556,751,2144,Nguyễn Văn 556,,30/09/2010,Chuyên vật lý,,9.25,5,7.25,,,3.5,,,,984640899,
557,752,325,Nguyễn Văn 557,,13/05/2010,Chuyên hóa học,,9.75,7.5,8,6.75,,,,,Chuyên Hoá học,984640899,
558,753,975,Nguyễn Văn 558,,03/06/2010,Chuyên tin học (thi Toán),Chuyên vật lý,9.25,5,6.5,,,0,,0.5,,984640899,
559,755,1805,Nguyễn Văn 559,,08/02/2010,Chuyên vật lý,,9.25,7.5,7.25,,,7.75,,,Chuyên Vật lý,984640899,
560,756,1629,Nguyễn Văn 560,,26/08/2010,Chuyên toán học,,9.75,8.5,7.5,,,,,6,Chuyên Toán học,984640899,
561,757,1024,Nguyễn Văn 561,Nữ,07/07/2010,Chuyên tin học (thi Toán),,10,7.5,8.75,,,,,2.5,,984640899,
562,758,653,Nguyễn Văn 562,,07/10/2010,Chuyên tin học (thi Toán),,9.75,5.5,7.25,,,,,2,,984640899,
563,760,1221,Nguyễn Văn 563,,20/01/2010,Chuyên vật lý,,8.25,2,7.75,,,1.5,,,,984640899,
564,762,1137,Nguyễn Văn 564,,03/01/2010,Chuyên tin học (thi Toán),,9.25,6.5,8.25,,,,,3,,984640899,
565,764,837,Nguyễn Văn 565,Nữ,27/10/2010,Chuyên tin học (thi Toán),,9.5,4,8.5,,,,,3,,984640899,
566,765,2333,Nguyễn Văn 566,,25/09/2010,Chuyên tin học (thi Toán),,9.25,7.5,8,,,,,5,,984640899,
567,767,686,Nguyễn Văn 567,Nữ,24/12/2010,Chuyên toán học,,10,7,8.75,,,,,6.5,Chuyên Toán học,984640899,
568,768,2283,Nguyễn Văn 568,,28/02/2010,Chuyên toán học,,9.5,5.5,7.25,,,,,3,,984640899,
569,769,2148,Nguyễn Văn 569,Nữ,04/12/2010,Chuyên sinh học,,9.25,5.25,7.75,,,,7.75,,Chuyên Sinh học,984640899,
570,771,1900,Nguyễn Văn 570,Nữ,13/02/2010,Chuyên hóa học,,9.75,6,8.25,7.5,,,,,Chuyên Hoá học,984640899,
571,773,80,Nguyễn Văn 571,,16/07/2010,Chuyên tin học (thi Toán),,10,6,7,,,,,6,,984640899,
572,774,620,Nguyễn Văn 572,,05/10/2010,Chuyên tin học (thi Toán),,10,7.5,8.25,,,,,7,Chuyên Tin học (thi Toán),984640899,
573,775,2247,Nguyễn Văn 573,,19/10/2010,Chuyên vật lý,,9,6.5,9,,,5.5,,,Chuyên Vật lý,984640899,
574,776,2449,Nguyễn Văn 574,,20/04/2010,Chuyên toán học,,9.75,7.5,7,,,,,2,,984640899,
575,778,346,Nguyễn Văn 575,Nữ,06/02/2010,Chuyên hóa học,,9.75,5,8.25,5.5,,,,,,984640899,
576,779,538,Nguyễn Văn 576,,20/05/2010,Chuyên toán học,,9.75,5.25,8.5,,,,,4,,984640899,
577,781,2243,Nguyễn Văn 577,,14/07/2010,Chuyên toán học,,8.75,5,7.75,,,,,5,,984640899,
578,782,253,Nguyễn Văn 578,,06/10/2010,Chuyên tin học (thi Tin),,9.25,1.5,6.5,,7,,,,,984640899,
579,783,2688,Nguyễn Văn 579,,31/05/2010,Chuyên hóa học,,10,6,8.5,6,,,,,Chuyên Hoá học,984640899,
580,784,811,Nguyễn Văn 580,,18/03/2010,Chuyên vật lý,,9.25,5,7.5,,,7.25,,,Chuyên Vật lý,984640899,
581,785,1242,Nguyễn Văn 581,,18/09/2010,Chuyên tin học (thi Toán),,9,7.5,7.5,,,,,3.5,,984640899,
582,787,1791,Nguyễn Văn 582,,11/06/2010,Chuyên vật lý,,10,6,8,,,4,,,,984640899,
583,789,2256,Nguyễn Văn 583,Nữ,24/02/2010,Chuyên toán học,,9,7.25,9.5,,,,,5,,984640899,
584,790,1250,Nguyễn Văn 584,,21/04/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9,7.5,7.5,,,2.75,,2.5,,984640899,
585,791,1593,Nguyễn Văn 585,,03/03/2010,Chuyên hóa học,,9.25,7,7,8.25,,,,,Chuyên Hoá học,984640899,
586,792,817,Nguyễn Văn 586,,10/11/2010,Chuyên tin học (thi Toán),,9.25,6,4,,,,,5.5,,984640899,
587,793,2592,Nguyễn Văn 587,,13/07/2010,Chuyên tin học (thi Toán),,8.75,7.5,6.5,,,,,7,Chuyên Tin học (thi Toán),984640899,
588,794,731,Nguyễn Văn 588,Nữ,30/03/2010,Chuyên tin học (thi Toán),,10,5,7.5,,,,,6,,984640899,
589,795,1056,Nguyễn Văn 589,,23/11/2010,Chuyên sinh học,,9.75,6,8,,,,7,,Chuyên Sinh học,984640899,
590,797,1750,Nguyễn Văn 590,,07/07/2010,Chuyên tin học (thi Toán),,9,5,7.25,,,,,3.5,,984640899,
591,799,1664,Nguyễn Văn 591,,22/08/2010,Chuyên sinh học,,9.75,5,7.5,,,,7,,Chuyên Sinh học,984640899,
592,800,321,Nguyễn Văn 592,,29/03/2010,Chuyên hóa học,,10,5,7.25,3.25,,,,,,984640899,
593,801,1874,Nguyễn Văn 593,,10/05/2010,Chuyên tin học (thi Toán),,8.75,6,8.25,,,,,0,,984640899,
594,802,247,Nguyễn Văn 594,,29/03/2010,Chuyên tin học (thi Toán),,9.75,4,7.75,,,,,6,,984640899,
595,804,2225,Nguyễn Văn 595,,03/12/2010,Chuyên hóa học,,9.25,5,8,9,,,,,Chuyên Hoá học,984640899,
596,805,2608,Nguyễn Văn 596,,09/11/2010,Chuyên toán học,,10,7.5,8,,,,,8,Chuyên Toán học,984640899,
597,807,792,Nguyễn Văn 597,Nữ,08/08/2010,Chuyên hóa học,,10,1.5,8.75,2.25,,,,,,984640899,
598,809,1237,Nguyễn Văn 598,,26/10/2010,Chuyên toán học,,9.5,7.5,7.5,,,,,7,Chuyên Toán học,984640899,
599,810,1981,Nguyễn Văn 599,,30/01/2010,Chuyên toán học,,9.75,6.5,8,,,,,0,,984640899,
600,811,120,Nguyễn Văn 600,Nữ,20/03/2010,Chuyên sinh học,,9.25,1.5,7.75,,,,4.75,,,984640899,
601,813,1885,Nguyễn Văn 601,,09/01/2010,Chuyên toán học,,10,8,8.25,,,,,9,Chuyên Toán học,984640899,
602,814,1172,Nguyễn Văn 602,,08/10/2010,Chuyên hóa học,,8.75,2,8,0.25,,,,,,984640899,
603,815,296,Nguyễn Văn 603,,08/04/2010,Chuyên tin học (thi Toán),,10,7.5,7.5,,,,,6,Chuyên Tin học (thi Toán),984640899,
604,816,469,Nguyễn Văn 604,,22/09/2010,Chuyên vật lý,,9.5,4,7.5,,,4.5,,,,984640899,
605,817,2169,Nguyễn Văn 605,Nữ,07/01/2010,Chuyên sinh học,,9.75,6.25,8.5,,,,8.75,,Chuyên Sinh học,984640899,
606,818,2496,Nguyễn Văn 606,,22/04/2010,Chuyên tin học (thi Toán),,9,7.5,7.75,,,,,7.5,Chuyên Tin học (thi Toán),984640899,
607,822,992,Nguyễn Văn 607,,23/10/2010,Chuyên hóa học,,9.75,7,8.5,7.75,,,,,Chuyên Hoá học,984640899,
608,823,1557,Nguyễn Văn 608,,15/08/2010,Chuyên vật lý,,9.75,7,8.5,,,8.25,,,Chuyên Vật lý,984640899,
609,825,2142,Nguyễn Văn 609,,08/10/2010,Chuyên toán học,,9.5,6.5,7.5,,,,,4,,984640899,
610,828,908,Nguyễn Văn 610,Nữ,05/10/2010,Chuyên sinh học,,9.75,6,6,,,,6,,Chuyên Sinh học,984640899,
611,829,1196,Nguyễn Văn 611,,06/01/2010,Chuyên tin học (thi Toán),,9.25,7,8.5,,,,,5.5,,984640899,
612,830,912,Nguyễn Văn 612,,19/06/2010,Chuyên tin học (thi Toán),,9.75,7.5,8.5,,,,,3,,984640899,
613,831,1960,Nguyễn Văn 613,,06/02/2010,Chuyên tin học (thi Toán),,9.5,5,8,,,,,0.5,,984640899,
614,832,1186,Nguyễn Văn 614,,07/12/2010,Chuyên tin học (thi Toán),,9.5,6.25,8.75,,,,,4.5,,984640899,
615,833,1886,Nguyễn Văn 615,,31/01/2010,Chuyên toán học,,9.5,7.5,7.5,,,,,3.5,,984640899,
616,834,2152,Nguyễn Văn 616,Nữ,10/10/2010,Chuyên hóa học,,8.75,7.5,8,3,,,,,,984640899,
617,835,112,Nguyễn Văn 617,Nữ,06/09/2010,Chuyên sinh học,,9.75,5,8,,,,6.5,,Chuyên Sinh học,984640899,
618,836,1116,Nguyễn Văn 618,,14/11/2010,Chuyên sinh học,,10,6.5,6.5,,,,9,,Chuyên Sinh học,984640899,
619,837,449,Nguyễn Văn 619,,26/01/2010,Chuyên tin học (thi Toán),,7.5,7.5,6,,,,,6.5,Chuyên Tin học (thi Toán),984640899,
620,839,1195,Nguyễn Văn 620,,20/10/2010,Chuyên hóa học,,9,7.5,8.5,7.25,,,,,Chuyên Hoá học,984640899,
621,840,339,Nguyễn Văn 621,,09/04/2010,Chuyên sinh học,,8.75,3,7.5,,,,2.75,,,984640899,
622,841,1093,Nguyễn Văn 622,,17/12/2010,Chuyên toán học,,9.75,8.5,8.25,,,,,7,Chuyên Toán học,984640899,
623,842,1173,Nguyễn Văn 623,,04/01/2010,Chuyên vật lý,,9.25,1.5,8.25,,,0,,,,984640899,
624,843,2593,Nguyễn Văn 624,,25/08/2010,Chuyên hóa học,,8.75,6,7.75,6,,,,,Chuyên Hoá học,984640899,
625,844,673,Nguyễn Văn 625,,09/04/2010,Chuyên toán học,,10,7.5,7.75,,,,,4.75,,984640899,
626,845,1323,Nguyễn Văn 626,,21/05/2010,Chuyên hóa học,,9.25,3.5,7.5,3.5,,,,,,984640899,
627,846,1598,Nguyễn Văn 627,,12/09/2010,Chuyên toán học,,8.5,7.5,7.5,,,,,5,,984640899,
628,847,1151,Nguyễn Văn 628,,08/12/2010,Chuyên sinh học,,9.5,6.5,8.5,,,,7.75,,Chuyên Sinh học,984640899,
629,848,676,Nguyễn Văn 629,Nữ,28/03/2010,Chuyên tin học (thi Toán),,10,6.75,5.75,,,,,4,,984640899,
630,849,1131,Nguyễn Văn 630,,16/07/2010,Chuyên vật lý,,9.75,6,8.25,,,6.75,,,Chuyên Vật lý,984640899,
631,852,160,Nguyễn Văn 631,,27/08/2010,Chuyên toán học,,9.25,3,6.5,,,,,1.5,,984640899,
632,854,1717,Nguyễn Văn 632,Nữ,23/05/2010,Chuyên tin học (thi Toán),,9,0,8.25,,,,,0,,984640899,
633,857,595,Nguyễn Văn 633,,29/01/2010,Chuyên hóa học,,9.5,6,7.5,4.75,,,,,,984640899,
634,858,563,Nguyễn Văn 634,,11/02/2010,Chuyên tin học (thi Toán),Chuyên vật lý,10,0,7,,,0,,0.5,,984640899,
635,860,1105,Nguyễn Văn 635,,04/11/2010,Chuyên toán học,,9.5,5.5,6.5,,,,,7,Chuyên Toán học,984640899,
636,861,1361,Nguyễn Văn 636,,10/01/2010,Chuyên vật lý,,9.5,5,7.5,,,7.75,,,Chuyên Vật lý,984640899,
637,862,51,Nguyễn Văn 637,,31/07/2010,Chuyên tin học (thi Toán),,9,7.25,8,,,,,4,,984640899,
638,864,1028,Nguyễn Văn 638,,18/03/2010,Chuyên vật lý,,9.25,5.5,5.5,,,7.5,,,Chuyên Vật lý,984640899,
639,865,1712,Nguyễn Văn 639,,09/02/2010,Chuyên hóa học,,9.75,6.25,7.5,7.5,,,,,Chuyên Hoá học,984640899,
640,866,1394,Nguyễn Văn 640,,29/08/2010,Chuyên sinh học,,9,7.5,6.5,,,,7,,Chuyên Sinh học,984640899,
641,868,1458,Nguyễn Văn 641,,08/06/2010,Chuyên tin học (thi Toán),,9.25,4.5,8,,,,,6,,984640899,
642,870,230,Nguyễn Văn 642,,15/11/2010,Chuyên vật lý,Chuyên sinh học,10,4,8,,,3.5,0,,,984640899,
643,871,1619,Nguyễn Văn 643,,27/08/2010,Chuyên toán học,,10,8,9,,,,,6.75,Chuyên Toán học,984640899,
644,872,361,Nguyễn Văn 644,Nữ,14/01/2010,Chuyên hóa học,,8.75,4,8.5,2.25,,,,,,984640899,
645,873,546,Nguyễn Văn 645,,11/07/2010,Chuyên hóa học,,10,6.5,8.75,3.25,,,,,,984640899,
646,874,2087,Nguyễn Văn 646,,16/08/2010,Chuyên toán học,,9,7,8.5,,,,,7,Chuyên Toán học,984640899,
647,875,2443,Nguyễn Văn 647,,10/11/2010,Chuyên tin học (thi Toán),,9,7.5,7.75,,,,,6,Chuyên Tin học (thi Toán),984640899,
648,876,264,Nguyễn Văn 648,,27/02/2010,Chuyên tin học (thi Toán),,9.75,5,7.75,,,,,1,,984640899,
649,877,821,Nguyễn Văn 649,,14/02/2010,Chuyên sinh học,,8.5,3,7,,,,6,,,984640899,
650,878,1115,Nguyễn Văn 650,,02/05/2010,Chuyên hóa học,,10,6.5,8.25,3.5,,,,,,984640899,
651,879,385,Nguyễn Văn 651,Nữ,29/05/2010,Chuyên hóa học,,9.5,5,9,5,,,,,,984640899,
652,880,1541,Nguyễn Văn 652,,28/02/2010,Chuyên tin học (thi Toán),,9.25,6.5,7.5,,,,,1,,984640899,
653,881,53,Nguyễn Văn 653,,17/06/2010,Chuyên tin học (thi Toán),,10,7,7.5,,,,,7,Chuyên Tin học (thi Toán),984640899,
654,882,524,Nguyễn Văn 654,,02/08/2010,Chuyên toán học,,10,4.75,8,,,,,4,,984640899,
655,884,344,Nguyễn Văn 655,,01/11/2010,Chuyên toán học,,9.25,7.5,9,,,,,8,Chuyên Toán học,984640899,
656,886,643,Nguyễn Văn 656,,08/09/2010,Chuyên hóa học,Chuyên tin học (thi Toán),9.75,7,8.25,8,,,,0,Chuyên Hoá học,984640899,
657,887,76,Nguyễn Văn 657,,24/06/2010,Chuyên hóa học,,9.75,6,7,5.5,,,,,Chuyên Hoá học,984640899,
658,890,436,Nguyễn Văn 658,,29/05/2010,Chuyên hóa học,,9.75,5,7.75,3.75,,,,,,984640899,
659,893,2352,Nguyễn Văn 659,,12/08/2010,Chuyên sinh học,Chuyên hóa học,9.5,1.5,7.5,1.25,,,6.25,,,984640899,
660,894,1030,Nguyễn Văn 660,,24/12/2010,Chuyên vật lý,,9.75,7.5,6.5,,,5.25,,,Chuyên Vật lý,984640899,
661,896,1944,Nguyễn Văn 661,,09/10/2010,Chuyên sinh học,,9,5,8,,,,8,,Chuyên Sinh học,984640899,
662,897,352,Nguyễn Văn 662,Nữ,01/04/2010,Chuyên hóa học,,9.75,5,8.25,6,,,,,Chuyên Hoá học,984640899,
663,898,1484,Nguyễn Văn 663,Nữ,02/12/2010,Chuyên vật lý,,9.25,2.5,9,,,0.5,,,,984640899,
664,899,2653,Nguyễn Văn 664,,26/08/2010,Chuyên tin học (thi Toán),,8.75,3,8,,,,,1,,984640899,
665,900,81,Nguyễn Văn 665,,20/07/2010,Chuyên sinh học,,8.25,6,7.75,,,,6.75,,Chuyên Sinh học,984640899,
666,901,363,Nguyễn Văn 666,Nữ,29/05/2010,Chuyên sinh học,,9.25,7.5,6.25,,,,7,,Chuyên Sinh học,984640899,
667,902,548,Nguyễn Văn 667,,03/01/2010,Chuyên tin học (thi Toán),,9.75,6,8.5,,,,,3.75,,984640899,
668,903,2468,Nguyễn Văn 668,Nữ,03/10/2010,Chuyên hóa học,,8.75,2.5,9.25,2.5,,,,,,984640899,
669,905,1042,Nguyễn Văn 669,,02/01/2010,Chuyên vật lý,,9.75,5.5,7.25,,,5,,,,984640899,
670,906,250,Nguyễn Văn 670,,17/06/2010,Chuyên hóa học,,8.5,4,7.5,2.75,,,,,,984640899,
671,907,914,Nguyễn Văn 671,,24/12/2010,Chuyên tin học (thi Toán),,9.25,7,6.5,,,,,3.5,,984640899,
672,910,959,Nguyễn Văn 672,,17/10/2010,Chuyên hóa học,,10,4,7.25,2.75,,,,,,984640899,
673,911,2572,Nguyễn Văn 673,,09/11/2010,Chuyên tin học (thi Toán),,9.25,7.5,7,,,,,6,Chuyên Tin học (thi Toán),984640899,
674,915,2674,Nguyễn Văn 674,,08/08/2010,Chuyên sinh học,,8.75,6,8.5,,,,4.5,,,984640899,
675,916,968,Nguyễn Văn 675,,30/05/2010,Chuyên tin học (thi Tin),,8.75,2.5,8.5,,5,,,,,984640899,
676,917,2080,Nguyễn Văn 676,,27/09/2010,Chuyên hóa học,,8.25,7.5,8.5,5.5,,,,,Chuyên Hoá học,984640899,
677,918,2202,Nguyễn Văn 677,,14/03/2010,Chuyên hóa học,Chuyên tin học (thi Toán),10,7.5,7.25,6.25,,,,0,Chuyên Hoá học,984640899,
678,919,2216,Nguyễn Văn 678,,06/03/2010,Chuyên sinh học,,9.25,6,7,,,,5.5,,Chuyên Sinh học,984640899,
679,920,531,Nguyễn Văn 679,,26/11/2010,Chuyên toán học,,8.25,6,7,,,,,5.75,,984640899,
680,921,529,Nguyễn Văn 680,,23/08/2010,Chuyên sinh học,,9.25,5,6.5,,,,5.5,,,984640899,
681,923,277,Nguyễn Văn 681,,28/02/2010,Chuyên sinh học,,9.25,2.5,7,,,,5.5,,,984640899,
682,924,360,Nguyễn Văn 682,Nữ,07/05/2010,Chuyên sinh học,,9.5,6,8.25,,,,4.5,,,984640899,
683,926,1477,Nguyễn Văn 683,Nữ,08/12/2010,Chuyên sinh học,,9.25,6,8.5,,,,5.25,,,984640899,
